[INFO] 2025-08-19 08:06:32,162 basehttp 16556 14736 "GET /static/webapp/css/style.css HTTP/1.1" 304 0
[INFO] 2025-08-19 08:06:32,174 basehttp 16556 11676 "GET /static/webapp/js/send_mail_base_btn.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:06:32,175 basehttp 16556 14736 "GET /static/webapp/js/modal_window.js HTTP/1.1" 200 2072
[INFO] 2025-08-19 08:06:36,900 basehttp 16556 14736 "GET /about HTTP/1.1" 200 14260
[INFO] 2025-08-19 08:06:36,948 basehttp 16556 14736 "GET /static/webapp/js/modal_window.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:06:39,674 basehttp 16556 14736 "GET / HTTP/1.1" 200 29629
[INFO] 2025-08-19 08:06:39,736 basehttp 16556 14736 "GET /static/webapp/js/modal_window.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:06:50,437 basehttp 16556 14736 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:07:28,152 basehttp 16556 14736 "GET / HTTP/1.1" 200 29629
[INFO] 2025-08-19 08:07:28,222 basehttp 16556 14736 "GET /static/webapp/js/modal_window.js HTTP/1.1" 304 0
[INFO] 2025-08-19 08:08:34,416 basehttp 16556 14736 "GET / HTTP/1.1" 200 29563
[INFO] 2025-08-19 08:08:34,470 basehttp 16556 11676 "GET /static/webapp/images/logo_kvatera.png HTTP/1.1" 200 5827
[INFO] 2025-08-19 08:08:34,477 basehttp 16556 14736 "GET /static/webapp/css/style.css HTTP/1.1" 200 53285
[INFO] 2025-08-19 08:08:34,480 basehttp 16556 11676 "GET /static/webapp/js/slider.js HTTP/1.1" 200 5707
[INFO] 2025-08-19 08:08:34,484 basehttp 16556 14736 "GET /static/webapp/js/filter_rent.js HTTP/1.1" 200 1220
[INFO] 2025-08-19 08:08:34,488 basehttp 16556 11676 "GET /static/webapp/js/burger_mobile.js HTTP/1.1" 200 3081
[INFO] 2025-08-19 08:08:34,494 basehttp 16556 13696 "GET /static/webapp/images/rent_slide.jpg HTTP/1.1" 200 116441
[INFO] 2025-08-19 08:08:34,494 basehttp 16556 14736 "GET /static/webapp/js/modal_window.js HTTP/1.1" 200 2072
[INFO] 2025-08-19 08:08:34,503 basehttp 16556 15252 "GET /media/property_photos/kvatera214_kalinina5.jpg HTTP/1.1" 200 199809
[INFO] 2025-08-19 08:08:34,512 basehttp 16556 11676 "GET /media/property_photos/kvatera214_polock_oct1.jpg HTTP/1.1" 200 274349
[INFO] 2025-08-19 08:08:34,514 basehttp 16556 15252 "GET /media/property_photos/kvatera_kolasa.jpg HTTP/1.1" 200 99681
[INFO] 2025-08-19 08:08:34,516 basehttp 16556 14736 "GET /media/property_photos/kvatera214_np_drujby3.jpg HTTP/1.1" 200 256900
[INFO] 2025-08-19 08:08:34,522 basehttp 16556 13696 "GET /media/property_photos/kvatera_polock_house.jpg HTTP/1.1" 200 412942
[INFO] 2025-08-19 08:08:34,529 basehttp 16556 14736 "GET /static/webapp/images/kvatera_about.jpg HTTP/1.1" 200 32878
[INFO] 2025-08-19 08:08:34,532 basehttp 16556 15252 "GET /media/property_photos/kvatera_mira.jpg HTTP/1.1" 200 246031
[INFO] 2025-08-19 08:08:34,558 basehttp 16556 6716 "GET /static/webapp/images/house_slide.png HTTP/1.1" 200 2736227
[INFO] 2025-08-19 08:08:34,570 basehttp 16556 15588 "GET /static/webapp/images/slide_badroom.png HTTP/1.1" 200 2378515
[INFO] 2025-08-19 08:08:39,324 basehttp 16556 15588 "GET /static/webapp/images/favicon.svg HTTP/1.1" 200 447
[INFO] 2025-08-19 08:08:47,823 basehttp 16556 15588 "POST /consultation/ HTTP/1.1" 200 187
[INFO] 2025-08-19 08:09:02,077 basehttp 16556 15588 "POST /send-consultation-message/ HTTP/1.1" 200 87
[INFO] 2025-08-19 08:09:37,220 basehttp 16556 15588 "GET / HTTP/1.1" 200 29562
[INFO] 2025-08-19 08:09:37,272 basehttp 16556 6716 "GET /static/webapp/images/logo_kvatera.png HTTP/1.1" 200 5827
[INFO] 2025-08-19 08:09:37,274 basehttp 16556 15588 "GET /static/webapp/css/style.css HTTP/1.1" 200 53285
[INFO] 2025-08-19 08:09:37,276 basehttp 16556 13696 "GET /static/webapp/images/rent_slide.jpg HTTP/1.1" 200 116441
[INFO] 2025-08-19 08:09:37,280 basehttp 16556 11676 "GET /media/property_photos/kvatera214_kalinina5.jpg HTTP/1.1" 200 199809
[INFO] 2025-08-19 08:09:37,282 basehttp 16556 15588 "GET /static/webapp/js/slider.js HTTP/1.1" 200 5707
[INFO] 2025-08-19 08:09:37,284 basehttp 16556 13696 "GET /static/webapp/js/filter_rent.js HTTP/1.1" 200 1220
[INFO] 2025-08-19 08:09:37,290 basehttp 16556 11676 "GET /static/webapp/js/burger_mobile.js HTTP/1.1" 200 3081
[INFO] 2025-08-19 08:09:37,290 basehttp 16556 6716 "GET /static/webapp/js/modal_window.js HTTP/1.1" 200 2072
[INFO] 2025-08-19 08:09:37,307 basehttp 16556 11676 "GET /media/property_photos/kvatera_kolasa.jpg HTTP/1.1" 200 99681
[INFO] 2025-08-19 08:09:37,312 basehttp 16556 13696 "GET /media/property_photos/kvatera214_polock_oct1.jpg HTTP/1.1" 200 274349
[INFO] 2025-08-19 08:09:37,314 basehttp 16556 6716 "GET /media/property_photos/kvatera214_np_drujby3.jpg HTTP/1.1" 200 256900
[INFO] 2025-08-19 08:09:37,316 basehttp 16556 15588 "GET /media/property_photos/kvatera_polock_house.jpg HTTP/1.1" 200 412942
[INFO] 2025-08-19 08:09:37,325 basehttp 16556 11676 "GET /media/property_photos/kvatera_mira.jpg HTTP/1.1" 200 246031
[INFO] 2025-08-19 08:09:37,327 basehttp 16556 15588 "GET /static/webapp/images/kvatera_about.jpg HTTP/1.1" 200 32878
